DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,EPSILON,SAMPLES,NBR_VZ_INITIATIVES
2013-11-24,19:30,BROOKLYN,11211.0,40.7058999,-73.9630991,"(40.7058999, -73.9630991)",TAYLOR STREET                   ,BEDFORD AVENUE                  ,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,197356,PASSENGER VEHICLE,BICYCLE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,11,6,0.1,10,0
2012-11-09,8:15,MANHATTAN,10019.0,40.7658813,-73.9946319,"(40.7658813, -73.9946319)",WEST 50 STREET                  ,11 AVENUE                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,39199,UNKNOWN,BICYCLE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,11,4,0.1,10,0
2016-05-19,23:00,MANHATTAN,10016.0,40.7475836,-73.9825503,"(40.7475836, -73.9825503)",                                ,                                ,50 EAST 34 STREET                       ,1,0,1,0,0,0,0,0,Unspecified,,,,,3444983,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2016,5,3,0.1,10,2
2017-05-23,12:30,BROOKLYN,11213.0,40.66935,-73.94136999999998,"(40.66935, -73.94137)",,,808       EASTERN PARKWAY               ,1,0,1,0,0,0,0,0,,,,,,3678791,,,,,,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2017,5,1,0.1,10,5
2014-03-13,14:30,BROOKLYN,11218.0,40.6461099,-73.9707681,"(40.6461099, -73.9707681)",CONEY ISLAND AVENUE             ,ALBERMARLE ROAD                 ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,305861,UNKNOWN,BICYCLE,BICYCLE,,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2014,3,3,0.1,10,4
2017-09-19,12:30,,,40.698406,-73.80646999999998,"(40.698406, -73.80647)",SUTPHIN BOULEVARD               ,,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,3753452,SPORT UTILITY / STATION WAGON,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2017,9,1,0.1,10,2
2016-02-07,10:45,BROOKLYN,11211.0,40.7123781,-73.9440319,"(40.7123781, -73.9440319)",GRAHAM AVENUE                   ,POWERS STREET                   ,,1,0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,,,,3385214,PASSENGER VEHICLE,BICYCLE,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2016,2,6,0.1,10,2
2017-10-31,19:30,BROOKLYN,11225.0,40.663727,-73.95385999999998,"(40.663727, -73.95386)",ROGERS AVENUE                   ,EMPIRE BOULEVARD,,1,0,0,0,1,0,0,0,Unsafe Lane Changing,View Obstructed/Limited,,,,3783083,BICYCLE,SPORT UTILITY / STATION WAGON,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2017,10,1,0.1,10,3
2013-09-09,8:10,BRONX,10454.0,40.8135129,-73.9196629,"(40.8135129, -73.9196629)",WILLIS AVENUE                   ,EAST 145 STREET                 ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,75126,PASSENGER VEHICLE,BICYCLE,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2013,9,0,0.1,10,3
2013-08-09,10:57,BRONX,10453.0,40.8570208,-73.9036141,"(40.8570208, -73.9036141)",WALTON AVENUE                   ,EAST 182 STREET                 ,,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,93862,PICK-UP TRUCK,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,8,4,0.1,10,2
