Unnamed: 0,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,DATENew,year,month,DAY_OF_WEEK,hour,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEADING_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SIP_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,NBR_VZ_INITIATIVES,TOTAL_INJURED,TOTAL_KILLED,EPSILON,SAMPLES
417110,05/03/2016,2018-03-24 00:18:00,BROOKLYN,11226.0,40.642307,-73.9574122,"(40.642307, -73.9574122)",                                ,                                ,1148 FLATBUSH AVENUE                    ,1,0,1,0,0,0,0,0,Unspecified,,,,,3434882,,,,,,2016-05-03,2016,5,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,6,2,0,0.1,10
407187,05/19/2016,2018-03-24 23:00:00,MANHATTAN,10016.0,40.7475836,-73.9825503,"(40.7475836, -73.9825503)",                                ,                                ,50 EAST 34 STREET                       ,1,0,1,0,0,0,0,0,Unspecified,,,,,3444983,PASSENGER VEHICLE,,,,,2016-05-19,2016,5,3,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0.1,10
643871,04/25/2015,2018-03-24 11:19:00,BROOKLYN,11213.0,40.6704292,-73.92818050000001,"(40.6704292, -73.9281805)",ROCHESTER AVENUE                ,SAINT JOHNS PLACE               ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3209467,PASSENGER VEHICLE,,,,,2015-04-25,2015,4,5,11,0,0,1,0,0,1,0,0,0,0,1,1,0,1,5,2,0,0.1,10
362275,07/27/2016,2018-03-24 16:15:00,BROOKLYN,11226.0,40.6550607,-73.961437,"(40.6550607, -73.961437)",                                ,                                ,185 PARKSIDE AVENUE                     ,1,0,1,0,0,0,0,0,Unspecified,,,,,3490156,PASSENGER VEHICLE,,,,,2016-07-27,2016,7,2,16,0,0,0,1,0,0,0,0,1,0,1,0,0,1,4,2,0,0.1,10
897712,01/30/2014,2018-03-24 18:15:00,BROOKLYN,11221.0,40.6979187,-73.9208228,"(40.6979187, -73.9208228)",HARMAN STREET                   ,WILSON AVENUE                   ,,3,0,3,0,0,0,0,0,Unspecified,,,,,187470,OTHER,,,,,2014-01-30,2014,1,3,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0.1,10
380539,06/29/2016,2018-03-24 20:45:00,BROOKLYN,11226.0,40.6508996,-73.9476548,"(40.6508996, -73.9476548)",CHURCH AVENUE                   ,EAST 32 STREET                  ,                                        ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471475,BICYCLE,PASSENGER VEHICLE,,,,2016-06-29,2016,6,2,20,0,0,0,1,0,0,0,0,1,0,1,1,0,1,5,2,0,0.1,10
405731,05/21/2016,2018-03-24 23:10:00,BROOKLYN,11216.0,40.674463,-73.9528493,"(40.674463, -73.9528493)",ROGERS AVENUE                   ,PROSPECT PLACE                  ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3450720,PASSENGER VEHICLE,,,,,2016-05-21,2016,5,5,23,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4,2,0,0.1,10
424562,04/20/2016,2018-03-24 12:23:00,BROOKLYN,11220.0,40.6426576,-74.0092822,"(40.6426576, -74.0092822)",6 AVENUE                        ,52 STREET                       ,                                        ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3418203,OTHER,,,,,2016-04-20,2016,4,2,12,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0,0.1,10
446137,03/16/2016,2018-03-24 11:19:00,BROOKLYN,11206.0,40.7010964,-73.94255190000001,"(40.7010964, -73.9425519)",                                ,                                ,730 BROADWAY                            ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3421262,PASSENGER VEHICLE,,,,,2016-03-16,2016,3,2,11,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0.1,10
478715,01/20/2016,2018-03-24 15:59:00,QUEENS,11104.0,40.7433745,-73.9205559,"(40.7433745, -73.9205559)",QUEENS BOULEVARD                ,44 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3374974,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2016-01-20,2016,1,2,15,0,0,0,0,0,1,0,1,1,0,0,1,1,1,6,2,0,0.1,10
76127,10/25/2017,2018-03-24 15:20:00,QUEENS,11417.0,40.68046,-73.84309,"(40.68046, -73.84309)",ROCKAWAY BOULEVARD              ,96 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3776942,SPORT UTILITY / STATION WAGON,,,,,2017-10-25,2017,10,2,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0.1,10
643863,04/25/2015,2018-03-24 11:00:00,MANHATTAN,10031.0,40.8245097,-73.9518505,"(40.8245097, -73.9518505)",WEST 142 STREET                 ,BROADWAY                        ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3209276,SPORT UTILITY / STATION WAGON,,,,,2015-04-25,2015,4,5,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0.1,10
1600,02/24/2018,2018-03-24 14:30:00,MANHATTAN,10007.0,40.714928,-74.00795,"(40.714928, -74.00795)",CHAMBERS STREET                 ,CHURCH STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3852026,BICYCLE,PASSENGER VEHICLE,,,,2018-02-24,2018,2,5,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0.1,10
658596,03/30/2015,2018-03-24 18:15:00,BROOKLYN,11233.0,40.67279129999999,-73.92221529999999,"(40.6727913, -73.9222153)",RALPH AVENUE                    ,PROSPECT PLACE                  ,,1,0,1,0,0,0,0,0,Fatigued/Drowsy,,,,,3195188,UNKNOWN,,,,,2015-03-30,2015,3,0,18,0,0,1,0,0,1,0,0,0,0,0,1,0,1,4,2,0,0.1,10
442893,03/22/2016,2018-03-24 15:05:00,BRONX,10459.0,40.8204757,-73.90129329999999,"(40.8204757, -73.9012933)",PROSPECT AVENUE                 ,EAST 161 STREET                 ,                                        ,2,0,2,0,0,0,0,0,Unspecified,,,,,3410956,PASSENGER VEHICLE,,,,,2016-03-22,2016,3,1,15,0,0,1,0,0,0,0,0,0,0,1,1,0,1,4,4,0,0.1,10
199410,04/18/2017,2018-03-24 10:20:00,QUEENS,11354.0,40.758823,-73.82977,"(40.758823, -73.82977)",,,40-21     MAIN STREET                   ,1,0,1,0,0,0,0,0,Unspecified,,,,,3652917,PASSENGER VEHICLE,,,,,2017-04-18,2017,4,1,10,0,0,1,0,0,0,0,0,1,0,1,1,0,1,5,2,0,0.1,10
286944,11/21/2016,2018-03-24 14:11:00,MANHATTAN,10033.0,40.8459475,-73.93781120000001,"(40.8459475, -73.9378112)",WEST 175 STREET                 ,WADSWORTH AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3565779,PASSENGER VEHICLE,,,,,2016-11-21,2016,11,0,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0.1,10
1483,02/24/2018,2018-03-24 00:38:00,BRONX,10466.0,40.893578000000005,-73.85729,"(40.893578, -73.85729)",,,4195      WHITE PLAINS ROAD             ,1,0,1,0,0,0,0,0,Unspecified,,,,,3852533,PASSENGER VEHICLE,,,,,2018-02-24,2018,2,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0.1,10
109588,09/04/2017,2018-03-24 08:22:00,,,40.710754,-73.79289,"(40.710754, -73.79289)",HILLSIDE AVENUE                 ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3742650,PASSENGER VEHICLE,,,,,2017-09-04,2017,9,0,8,0,0,1,0,0,0,0,0,0,0,1,1,0,1,4,2,0,0.1,10
296805,11/06/2016,2018-03-24 18:11:00,QUEENS,11419.0,40.6858375,-73.8268476,"(40.6858375, -73.8268476)",116 STREET                      ,LIBERTY AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3554966,TAXI,BICYCLE,,,,2016-11-06,2016,11,6,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0.1,10
14326,02/02/2018,2018-03-24 09:55:00,,,40.68969,-73.99237,"(40.68969, -73.99237)",ATLANTIC AVENUE                 ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3841933,PASSENGER VEHICLE,,,,,2018-02-02,2018,2,4,9,1,0,1,0,0,1,1,1,0,1,0,1,1,1,9,2,0,0.1,10
455436,03/01/2016,2018-03-24 16:50:00,BROOKLYN,11213.0,40.673257899999996,-73.9306974,"(40.6732579, -73.9306974)",UTICA AVENUE                    ,PROSPECT PLACE                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3398187,BUS,,,,,2016-03-01,2016,3,1,16,1,1,1,0,0,0,0,0,0,0,1,1,0,1,6,2,0,0.1,10
939388,11/16/2013,2018-03-24 17:49:00,QUEENS,11372.0,40.750334499999994,-73.8787316,"(40.7503345, -73.8787316)",37 AVENUE                       ,88 STREET                       ,,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,283671,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013-11-16,2013,11,5,17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0.1,10
138367,07/19/2017,2018-03-24 19:50:00,BROOKLYN,11215.0,40.674965,-73.98147,"(40.674965, -73.98147)",,,245       5 AVENUE                      ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3714940,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2017-07-19,2017,7,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,10
688193,02/06/2015,2018-03-24 21:30:00,MANHATTAN,10038.0,40.7078571,-74.0068386,"(40.7078571, -74.0068386)",GOLD STREET                     ,PLATT STREET                    ,,1,0,1,0,0,0,0,0,Prescription Medication,,,,,3164776,PASSENGER VEHICLE,,,,,2015-02-06,2015,2,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0.1,10
133791,07/26/2017,2018-03-24 21:45:00,,,40.67974,-73.87839,"(40.67974, -73.87839)",ATLANTIC AVENUE                 ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3719539,BICYCLE,PASSENGER VEHICLE,,,,2017-07-26,2017,7,2,21,1,0,1,1,0,0,0,0,0,0,0,1,0,1,5,2,0,0.1,10
699415,01/16/2015,2018-03-24 21:30:00,BROOKLYN,11212.0,40.6551328,-73.9163325,"(40.6551328, -73.9163325)",EAST 95 STREET                  ,CHURCH AVENUE                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3156241,UNKNOWN,,,,,2015-01-16,2015,1,4,21,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4,2,0,0.1,10
527936,10/29/2015,2018-03-24 14:33:00,BROOKLYN,11203.0,40.662231799999994,-73.9399649,"(40.6622318, -73.9399649)",EAST NEW YORK AVENUE            ,ALBANY AVENUE                   ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3324836,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2015-10-29,2015,10,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0.1,10
116097,08/24/2017,2018-03-24 09:00:00,BRONX,10451.0,40.82751,-73.92495,"(40.82751, -73.92495)",EAST 161 STREET                 ,GERARD AVENUE,,2,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3736475,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2017-08-24,2017,8,3,9,0,0,1,0,0,0,0,0,1,0,1,1,0,0,4,4,0,0.1,10
522754,11/07/2015,2018-03-24 14:56:00,BROOKLYN,11222.0,40.7288235,-73.9536587,"(40.7288235, -73.9536587)",MANHATTAN AVENUE                ,NOBLE STREET                    ,,1,0,0,0,1,0,0,0,Prescription Medication,Reaction to Other Uninvolved Vehicle,,,,3330159,PASSENGER VEHICLE,BICYCLE,,,,2015-11-07,2015,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,10
87811,10/07/2017,2018-03-24 21:35:00,BROOKLYN,11217.0,40.687183000000005,-73.9766,"(40.687183, -73.9766)",FULTON STREET                   ,FORT GREENE PLACE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3765620,PASSENGER VEHICLE,,,,,2017-10-07,2017,10,5,21,0,1,1,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0.1,10
71527,11/01/2017,2018-03-24 18:45:00,QUEENS,11373.0,40.747097,-73.88386,"(40.747097, -73.88386)",,,40-18     82 STREET                     ,1,0,0,0,1,0,0,0,Unspecified,,,,,3797845,BICYCLE,,,,,2017-11-01,2017,11,2,18,0,0,1,1,0,0,0,0,1,0,1,1,0,1,6,2,0,0.1,10
