DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,NBR_VZ_INITIATIVES,EPSILON,SAMPLES
2014-04-08,7:20,,,40.5851653,-73.9564056,"(40.5851653, -73.9564056)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,2944226,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,4,1,1,0.1,10
2018-02-02,13:00,,,40.711823,-73.83612,"(40.711823, -73.83612)",UNION TURNPIKE                  ,PARK LANE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,3839487,PICK-UP TRUCK,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,2,4,0,0.1,10
2014-04-08,12:20,,,40.80634620000001,-73.9331715,"(40.8063462, -73.9331715)",,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,2865254,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4,1,0,0.1,10
2014-04-08,14:30,QUEENS,11414.0,40.6607052,-73.8412833,"(40.6607052, -73.8412833)",158 AVENUE                      ,92 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,317831,UNKNOWN,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4,1,0,0.1,10
2016-01-28,9:25,BROOKLYN,11206.0,40.7013019,-73.93672719999998,"(40.7013019, -73.9367272)",BUSHWICK AVENUE                 ,MONTIETH STREET                 ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,3379153,OTHER,OTHER,OTHER,,,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2016,1,3,4,0.1,10
2015-05-22,19:33,BROOKLYN,11232.0,40.6555198,-74.0064368,"(40.6555198, -74.0064368)",3 AVENUE                        ,36 STREET                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3226165,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,5,4,0,0.1,10
2012-12-10,18:15,BRONX,10474.0,40.822533,-73.8850856,"(40.822533, -73.8850856)",BRUCKNER BOULEVARD              ,EDGEWATER ROAD                  ,,3,0,0,0,0,0,3,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,,76840,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,12,0,0,0.1,10
2013-12-10,20:00,BROOKLYN,11205.0,40.699191600000006,-73.95518320000002,"(40.6991916, -73.9551832)",WALWORTH STREET                 ,FLUSHING AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,182191,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,UNKNOWN,VAN,,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2013,12,1,4,0.1,10
2017-09-07,18:35,,,40.837452,-73.87378000000002,"(40.837452, -73.87378)",,,,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,,3745725,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,9,3,1,0.1,10
2014-04-08,23:00,BRONX,10463.0,40.8731394,-73.90571329999999,"(40.8731394, -73.9057133)",WEST KINGSBRIDGE ROAD           ,BAILEY AVENUE                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,317630,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2014,4,1,3,0.1,10
